Area_Type,Area,Area_Name,SOC,Occupational_Title,Employment,Mean_Wage,Median_Wage,Entry_Wage,Experienced_Wage
10,1,Capital Region,11-2031,Public Relations and Fundraising Managers,400,103400,89550,55480,127360
10,6,Mohawk Valley Region,15-1111,Computer and Information Research Scientists,120,103680,102530,79840,115610
10,10,Western New York Region,39-4031," Morticians, Undertakers, and Funeral Directors",,62910,64990,45420,71660
10,8,North Country Region,39-9099," Personal Care and Service Workers, All Other",,30210,30430,24730,32950
10,10,Western New York Region,33-3041,Parking Enforcement Workers,,35380,35320,29380,38390
10,5,Long Island Region,25-2054," Special Education Teachers, Secondary School",2400,97580,101600,62940,114900
10,6,Mohawk Valley Region,21-2011,Clergy,160,42070,36700,28240,48990
10,8,North Country Region,45-0000,"Farming, Fishing, and Forestry Occupations",280,38410,36070,24990,45120
1,36,New York State,23-2093," Title Examiners, Abstractors, and Searchers",3510,55680,57320,35750,65650
10,5,Long Island Region,29-2053,Psychiatric Technicians,,52080,53650,42040,57100
10,8,North Country Region,23-0000,Legal Occupations,710,101490,93430,46180,129150
10,4,Hudson Valley Region,13-1121," Meeting, Convention, and Event Planners",620,57260,56770,34370,68700
1,36,New York State,31-9099," Healthcare Support Workers, All Other",6170,37160,36410,24120,43690
1,36,New York State,21-1012,"Educational, Guidance, School, and Vocational Counselors",22430,68140,62090,39050,82680
10,3,Finger Lakes Region,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",450,61210,63530,38820,72400
10,5,Long Island Region,47-4041,Hazardous Materials Removal Workers,490,65250,66400,47660,74040
1,36,New York State,11-9061,Funeral Service Managers,580,116220,105420,49430,149620
10,8,North Country Region,53-7051,Industrial Truck and Tractor Operators,250,37930,37720,30530,41640
10,7,New York City Region,11-1031,Legislators,,143760,139130,109860,160710
10,3,Finger Lakes Region,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",160,59700,58520,46470,66310
10,5,Long Island Region,51-6031,Sewing Machine Operators,920,28870,25370,22880,32190
10,8,North Country Region,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",110,35100,34340,26600,39350
10,6,Mohawk Valley Region,27-1024,Graphic Designers,210,41650,38530,27970,48490
10,10,Western New York Region,13-1032," Insurance Appraisers, Auto Damage",,60210,57380,46320,67150
10,4,Hudson Valley Region,25-1011," Business Teachers, Postsecondary",980,108160,82130,52750,135870
1,36,New York State,47-2041,Carpet Installers,1220,47240,30600,24390,58670
10,7,New York City Region,19-3051,Urban and Regional Planners,740,84020,74650,55300,98370
10,1,Capital Region,29-1067,Surgeons,100,274040,,,
10,10,Western New York Region,33-9032,Security Guards,5950,27160,24200,21632,29960
10,3,Finger Lakes Region,25-2059," Special Education Teachers, All Other",,53540,52670,44280,58170
10,6,Mohawk Valley Region,47-2031,Carpenters,950,49000,47340,34980,56010
10,7,New York City Region,13-2031,Budget Analysts,1440,81520,77470,57120,93720
10,10,Western New York Region,27-1026,Merchandise Displayers and Window Trimmers,,35440,29020,22480,41920
10,4,Hudson Valley Region,43-5051,Postal Service Clerks,860,53940,59940,41060,60380
10,9,Southern Tier Region,43-5061," Production, Planning, and Expediting Clerks",860,49770,47390,32510,58400
10,10,Western New York Region,11-3071,"Transportation, Storage, and Distribution Managers",250,103290,102650,65880,122000
10,7,New York City Region,29-2081," Opticians, Dispensing",750,52350,55660,28880,64080
10,1,Capital Region,29-2033,Nuclear Medicine Technologists,50,85030,84070,70890,92090
10,4,Hudson Valley Region,53-3021," Bus Drivers, Transit and Intercity",1680,50910,46010,33740,59490
10,8,North Country Region,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",180,41820,42570,30490,47480
10,9,Southern Tier Region,51-9123," Painting, Coating, and Decorating Workers",60,34790,32800,27750,38300
10,2,Central New York Region,43-9111,Statistical Assistants,,57550,56470,43060,64790
1,36,New York State,17-3027,Mechanical Engineering Technicians,1580,61350,56890,40000,72020
10,3,Finger Lakes Region,25-9011,Audio-Visual and Multimedia Collections Specialists,180,37100,32610,27780,41770
10,3,Finger Lakes Region,29-2071,Medical Records and Health Information Technicians,590,43620,41960,28350,51260
10,8,North Country Region,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",40,35040,32330,25930,39590
10,9,Southern Tier Region,21-0000,Community and Social Service Occupations,5750,48320,45480,30090,57430
10,7,New York City Region,53-7064," Packers and Packagers, Hand",9610,26780,24960,24960,29570
10,2,Central New York Region,13-1161,Market Research Analysts and Marketing Specialists,950,72820,64310,41820,88310
10,8,North Country Region,21-1092,Probation Officers and Correctional Treatment Specialists,290,64790,64970,51630,71380
1,36,New York State,39-6011,Baggage Porters and Bellhops,4270,33080,30000,22720,38260
1,36,New York State,51-9193,Cooling and Freezing Equipment Operators and Tenders,270,34240,32030,24440,39150
