,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Berlevag,1,NO,1559781978,82,70.86,29.09,41.27,9.48
1,Vaini,75,IN,1559781979,94,15.34,74.49,75.2,17.22
2,Kokuy,92,RU,1559781980,51,52.2,117.55,56.75,4.68
3,Ushuaia,0,AR,1559781787,70,-54.81,-68.31,42.8,5.82
4,Albany,90,US,1559781834,83,42.65,-73.75,71.6,4.7
5,Cape Town,20,ZA,1559781964,76,-33.93,18.42,55.0,4.7
6,Hilo,90,US,1559781790,83,19.71,-155.08,77.0,4.7
7,Vardo,75,US,1559781731,73,39.62,-77.74,75.2,4.7
8,Andra,80,RU,1559781987,86,62.52,65.89,42.53,8.95
9,Nome,90,US,1559781988,88,30.04,-94.42,77.0,11.41
10,Sitka,49,US,1559781989,33,37.17,-99.65,84.29,5.06
11,Punta Arenas,20,CL,1559781991,80,-53.16,-70.91,39.2,11.41
12,Arraial do Cabo,96,BR,1559781992,66,-22.97,-42.02,71.51,7.96
13,Merauke,85,ID,1559781993,81,-8.49,140.4,80.87,26.78
14,Leningradskiy,41,RU,1559781995,88,69.38,178.42,34.61,4.14
15,Kavieng,73,PG,1559781996,73,-2.57,150.8,85.19,8.48
16,Mataura,87,NZ,1559781997,80,-46.19,168.86,47.39,9.91
17,Faanui,11,PF,1559781998,79,-16.48,-151.75,81.59,18.86
18,Avarua,4,CK,1559781999,69,-21.21,-159.78,77.0,13.87
19,College,75,US,1559782000,29,64.86,-147.8,72.0,4.7
20,Victoria,75,BN,1559782002,83,5.28,115.24,84.2,1.12
21,Airai,87,TL,1559782003,59,-8.93,125.41,77.81,8.75
22,Nanortalik,100,GL,1559782004,65,60.14,-45.24,40.55,22.19
23,Sarlat-la-Caneda,25,FR,1559782006,93,44.89,1.22,51.01,3.36
24,Lavrentiya,19,RU,1559782007,49,65.58,-170.99,57.83,5.44
25,Chuy,96,UY,1559782008,72,-33.69,-53.46,64.49,18.12
26,Bluff,100,AU,1559782009,48,-23.58,149.07,62.69,19.13
27,Rikitea,100,PF,1559782010,84,-23.12,-134.97,76.91,13.04
28,Los Llanos de Aridane,90,ES,1559782011,72,28.66,-17.92,68.0,13.87
29,New Norfolk,75,AU,1559782013,54,-42.78,147.06,60.01,2.24
30,Geraldton,20,CA,1559782014,34,49.72,-86.95,64.4,4.7
31,Upernavik,100,GL,1559782015,73,72.79,-56.15,40.91,2.33
32,Chabahar,0,IR,1559782017,51,25.29,60.65,88.79,2.84
33,Siguiri,57,GN,1559782018,63,11.42,-9.17,82.49,9.19
34,Provideniya,75,RU,1559782019,81,64.42,-173.23,42.8,11.18
